mode,query_class,query_filename,query_filepath,top1_class,top1_filename,top1_filepath,top1_similarity,top1_structure_similarity,top1_is_relevant,recall_at_1,recall_at_5,recall_at_10,ap_at_k,ndcg_at_k,first_tier,second_tier,anmrr
multimodal_text,人孔,11.png,D:\workspace\图纸检索项目\数据集\Dataset_img3\人孔\HG21597DN450\11.png,人孔,4.png,D:\workspace\图纸检索项目\数据集\Dataset_img3\人孔\HG21597DN450\4.png,0.916929,0.670689,1,1.0,1.0,1.0,1.0,1.0,0.684211,0.868421,0.169919
multimodal_text,人孔,12.png,D:\workspace\图纸检索项目\数据集\Dataset_img3\人孔\HG21597DN450\12.png,人孔,9.png,D:\workspace\图纸检索项目\数据集\Dataset_img3\人孔\HG21597DN450\9.png,0.995519,0.95584,1,1.0,1.0,1.0,0.8,0.870125,0.657895,0.868421,0.162231
multimodal_text,人孔,13.png,D:\workspace\图纸检索项目\数据集\Dataset_img3\人孔\HG21597DN450\13.png,人孔,2.png,D:\workspace\图纸检索项目\数据集\Dataset_img3\人孔\HG21597DN450\2.png,0.969232,0.841998,1,1.0,1.0,1.0,1.0,1.0,0.815789,0.868421,0.127735
multimodal_text,人孔,14.png,D:\workspace\图纸检索项目\数据集\Dataset_img3\人孔\HG21597DN450\14.png,人孔,13.png,D:\workspace\图纸检索项目\数据集\Dataset_img3\人孔\HG21597DN450\13.png,0.955925,0.86863,1,1.0,1.0,1.0,1.0,1.0,0.763158,0.868421,0.13286
multimodal_text,人孔,450.png,D:\workspace\图纸检索项目\数据集\Dataset_img3\人孔\HG21595-99\450.png,人孔,500.png,D:\workspace\图纸检索项目\数据集\Dataset_img3\人孔\HG21595-99\500.png,0.993419,0.980546,1,1.0,1.0,1.0,0.89,0.933746,0.710526,0.868421,0.162231
multimodal_text,人孔,9.png,D:\workspace\图纸检索项目\数据集\Dataset_img3\人孔\HG21597DN450\9.png,人孔,12.png,D:\workspace\图纸检索项目\数据集\Dataset_img3\人孔\HG21597DN450\12.png,0.995519,0.95584,1,1.0,1.0,1.0,0.677778,0.793584,0.605263,0.868421,0.190814
multimodal_text,人孔,A-400-0.6.png,D:\workspace\图纸检索项目\数据集\Dataset_img3\人孔\人孔(衬面)\HG21516-95回转盖板式平焊法兰人孔\A\A-400-0.6.png,人孔,A-MFM-400-1.0.png,D:\workspace\图纸检索项目\数据集\Dataset_img3\人孔\人孔(衬面)\HG21517-95回转盖带颈平焊法兰人孔\A-MFM-400-1.0.png,0.996714,0.984522,1,1.0,1.0,1.0,1.0,1.0,0.868421,0.868421,0.115316
multimodal_text,人孔,A-MFM-400-1.0.png,D:\workspace\图纸检索项目\数据集\Dataset_img3\人孔\人孔(衬面)\HG21517-95回转盖带颈平焊法兰人孔\A-MFM-400-1.0.png,人孔,A-400-0.6.png,D:\workspace\图纸检索项目\数据集\Dataset_img3\人孔\人孔(衬面)\HG21516-95回转盖板式平焊法兰人孔\A\A-400-0.6.png,0.996714,0.984522,1,1.0,1.0,1.0,1.0,1.0,0.868421,0.868421,0.115316
multimodal_text,人孔,B-500-0.6.png,D:\workspace\图纸检索项目\数据集\Dataset_img3\人孔\人孔(衬面)\HG21516-95回转盖板式平焊法兰人孔\B\B-500-0.6.png,人孔,A-500-0.6.png,D:\workspace\图纸检索项目\数据集\Dataset_img3\人孔\人孔(衬面)\HG21516-95回转盖板式平焊法兰人孔\A\A-500-0.6.png,0.996458,0.982862,1,1.0,1.0,1.0,1.0,1.0,0.868421,0.868421,0.115514
multimodal_text,人孔,DN400.png,D:\workspace\图纸检索项目\数据集\Dataset_img3\人孔\人孔(衬面)\HG21515-95常压人孔\DN400.png,人孔,DN450.png,D:\workspace\图纸检索项目\数据集\Dataset_img3\人孔\人孔(衬面)\HG21515-95常压人孔\DN450.png,0.985479,0.94371,1,1.0,1.0,1.0,1.0,1.0,0.842105,0.868421,0.123004
multimodal_text,人孔,DN450.png,D:\workspace\图纸检索项目\数据集\Dataset_img3\人孔\人孔(衬面)\HG21515-95常压人孔\DN450.png,人孔,B-450-0.6.png,D:\workspace\图纸检索项目\数据集\Dataset_img3\人孔\人孔(衬面)\HG21516-95回转盖板式平焊法兰人孔\B\B-450-0.6.png,0.989897,0.806954,1,1.0,1.0,1.0,1.0,1.0,0.684211,0.842105,0.161837
multimodal_text,人孔,DN500.png,D:\workspace\图纸检索项目\数据集\Dataset_img3\人孔\人孔(衬面)\HG21515-95常压人孔\DN500.png,人孔,DN600.png,D:\workspace\图纸检索项目\数据集\Dataset_img3\人孔\人孔(衬面)\HG21515-95常压人孔\DN600.png,0.966752,0.88974,1,1.0,1.0,1.0,1.0,1.0,0.815789,0.868421,0.128129
multimodal_text,人孔,DN500不锈钢垂直吊盖带颈平焊人孔.png,D:\workspace\图纸检索项目\数据集\Dataset_img3\人孔\人孔(衬面)\HG21599-99垂直吊盖不锈钢法兰人孔\DN500不锈钢垂直吊盖带颈平焊人孔.png,人孔,DN400.png,D:\workspace\图纸检索项目\数据集\Dataset_img3\人孔\人孔(衬面)\HG21515-95常压人孔\DN400.png,0.914727,0.619036,1,1.0,1.0,1.0,0.757778,0.857205,0.578947,0.763158,0.221762
multimodal_text,人孔,DN600.png,D:\workspace\图纸检索项目\数据集\Dataset_img3\人孔\人孔(衬面)\HG21515-95常压人孔\DN600.png,人孔,DN450.png,D:\workspace\图纸检索项目\数据集\Dataset_img3\人孔\人孔(衬面)\HG21515-95常压人孔\DN450.png,0.983791,0.946387,1,1.0,1.0,1.0,1.0,1.0,0.868421,0.868421,0.117485
multimodal_text,人孔,HG21517～24.png,D:\workspace\图纸检索项目\数据集\Dataset_img3\人孔\HG21517-24\HG21517～24.png,夹具,夹具_12.png,D:\workspace\图纸检索项目\数据集\Dataset_img3\夹具\夹具_12.png,0.95981,0.812757,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
